Trajectory_ID,Diffusion_Coeff (um^2/s)
1,1.0747464728473652e-05
2,0.0035068585886450622
3,0.006654340187420259
4,0.002580417945738013
5,0.004748155751501072
6,0.004598590145339703
7,0.00468798507576071
8,0.0053397590222785596
9,0.0052385519188290096
10,0.005125741072951823
11,0.005535131275218148
12,0.006445290664496195
13,0.006025862024902092
14,0.006208502349339566
15,0.006281013943049879
16,0.005443278945740585
17,0.005445764219089461
18,0.00540755599780198
19,0.005323422246943344
20,0.005252546472779194
21,0.005151530304696463
22,0.00411566220712949
23,0.004068313404733943
24,0.004002674641383266
25,0.0037602871928406572
26,0.0037527689080280716
27,0.0037291785618493527
28,0.0039555666086978575
29,0.003834268355362228
30,0.0038396063573868707
31,0.003821122100861582
32,0.003807483220428798
33,0.0037359070983933825
34,0.0035604132469354245
35,0.003539676430797861
36,0.003521073861049204
37,0.0034723983314138137
38,0.003568399357616389
39,0.0033849002164342543
40,0.0033626522858446767
41,0.0033270119870554265
42,0.00338014817871088
43,0.0034080524025021743
44,0.0038755046162462655
45,0.003573307192896738
46,0.003706318464678193
47,0.003934902729084476
48,0.003910277264294831
49,0.003944473692126779
50,0.0038647218120039673
51,0.003943221369757068
52,0.003994544259239936
53,0.0039396561673315286
54,0.003841270236199289
55,0.0039970407144670215
56,0.004123845984442223
57,0.0040837875406011135
58,0.0040093361071793085
59,0.0039967031118576125
60,0.003965460164299466
61,0.003944131172936493
62,0.003935784379711854
63,0.003950193423272882
64,0.003932377701087592
65,0.003932331004561915
66,0.003917551048598056
67,0.00391371498654579
68,0.0038948642599380555
69,0.00413577342448099
70,0.004333094190736828
71,0.004343568306249495
72,0.004271642603638018
73,0.00416069555953541
74,0.004118056023807302
75,0.004002239955831891
76,0.0040296832149964035
77,0.004012425754927897
78,0.0040352282846041355
79,0.004011511045408848
80,0.004016987421476983
81,0.004004539789718485
82,0.004030409983899774
83,0.0040704807614451
84,0.0041103015323428315
85,0.004096560385794319
86,0.004168277007061453
87,0.004323290167378408
88,0.00437466619857642
89,0.004352296487057725
90,0.0043309019826133326
91,0.0042700821874713905
92,0.0043042362941344186
93,0.004387674463340689
94,0.004332885332748821
95,0.0043608474867408925
96,0.004420032655975745
97,0.004413586156848597
